,phrases,frequency
250,already don,1
251,already eight,1
252,already elapsed,1
253,already entered,1
254,already exceeded,1
255,already excessiv,1
256,already exhausted,1
257,already expired,1
258,already extensiv,1
259,already few,1
260,already fifteen,1
261,already filled,1
262,already finishing,1
263,already fourth,1
264,already friend,1
265,already giving,1
266,already going,1
267,already got,5
268,already happ,1
269,already held,1
270,already hov,1
271,already long,1
272,already mad,8
273,already manipulated,1
274,already mor,1
275,already my,1
276,already opened,3
277,already opening,1
278,already paid,12
279,already passed,1
280,already past,1
281,already paying,1
282,already played,1
283,already possibl,1
284,already purchased,1
285,already received,4
286,already reclaimed,1
287,already reimbursed,1
288,already requested,12
289,already returned,2
290,already said,1
291,already second,2
292,already sent,16
293,already showed,1
294,already stopped,1
295,already ten,1
296,already the,2
297,already third,1
298,already turned,1
299,already two,1
300,already used,3
301,already way,1
302,already week,1
303,already went,1
304,als cam,2
305,als com,1
306,als could,1
307,als inform,1
308,als lost,1
309,als not,2
310,als tak,1
311,als the,1
312,alt thank,1
313,alternativ the,1
314,although appe,1
315,although contaim,1
316,although ha,1
317,although is,2
318,although not,1
319,although the,1
320,aluminum scratched,1
321,alway arriv,1
322,alway bought,14
323,alway buy,2
324,alway cam,1
325,alway delivered,2
326,alway divergenc,1
327,alway fall,1
328,alway gav,1
329,alway good,1
330,alway great,1
331,alway inform,1
332,alway perfect,1
333,alway receiv,1
334,alway said,1
335,alway saying,1
336,alway trusted,1
337,am accustomed,1
338,am already,1
339,am cancelling,1
340,am canist,1
341,am completely,1
342,am deeply,1
343,am disappointed,8
344,am dissatisfied,4
345,am doubt,2
346,am entering,1
347,am extremely,2
348,am feeling,1
349,am mt,1
350,am outraged,1
351,am performing,1
352,am requesting,1
353,am satisfied,2
354,am st,1
355,am still,2
356,am sup,1
357,am totally,1
358,am trying,2
359,am upset,2
360,am very,2
361,am waiting,18
362,am worried,1
363,am writing,1
364,amend small,1
365,amer far,1
366,americ do,1
367,americ not,1
368,american questioned,1
369,american sit,1
370,american st,3
371,american treat,1
372,american websit,1
373,amor advanced,1
374,amor golden,1
375,amount charged,1
376,amount forty,1
377,amount missed,1
378,amount missing,1
379,amount paid,11
380,amount product,1
381,amount ten,1
382,amount two,2
383,an aged,1
384,an answ,12
385,an application,1
386,an attendant,3
387,an electric,1
388,an email,2
389,an evaluation,1
390,an exchang,1
391,an extern,1
392,an hour,1
393,an inappropriat,1
394,an institution,1
395,an old,2
396,an ord,1
397,an orig,4
398,an ugly,1
399,an unbearabl,1
400,an uncommicabl,1
401,an unforeseen,2
402,an voic,1
403,analog point,1
404,ancient driv,1
405,ancient the,1
406,and already,1
407,and alway,1
408,and apparently,1
409,and bought,1
410,and called,1
411,and can,1
412,and canist,2
413,and deceiv,1
414,and did,1
415,and early,1
416,and far,2
417,and for,1
418,and hav,1
419,and informed,1
420,and lik,1
421,and nothing,1
422,and omit,1
423,and paid,2
424,and received,1
425,and seventy,1
426,and sever,1
427,and still,1
428,and tak,1
429,and the,2
430,and third,1
431,and until,1
432,and voic,1
433,and wrong,1
434,and you,1
435,android four,1
436,angry lack,1
437,announc kit,1
438,announc product,1
439,announced already,1
440,announced charg,1
441,announced disappointing,1
442,announced fill,1
443,announced fle,1
444,announced interested,1
445,announced my,1
446,announced not,1
447,announced pric,1
448,announced product,2
449,announced targaryen,1
450,announced the,1
451,announced tried,1
452,announced you,1
453,announcement did,1
454,announcement not,2
455,announcement received,1
456,announcement said,1
457,announcing called,1
458,announcing orig,1
459,annoyed american,1
460,annoyed he,1
461,anoth actually,1
462,anoth addres,1
463,anoth already,1
464,anoth are,1
465,anoth asking,1
466,anoth bottom,1
467,anoth brand,4
468,anoth carri,1
469,anoth city,1
470,anoth col,3
471,anoth company,1
472,anoth completely,3
473,anoth control,1
474,anoth copp,1
475,anoth detalh,1
476,anoth different,2
477,anoth femal,1
478,anoth four,1
479,anoth is,1
480,anoth les,1
481,anoth mark,1
482,anoth model,7
483,anoth nothing,1
484,anoth one,3
485,anoth person,5
486,anoth plac,2
487,anoth pleas,1
488,anoth print,1
489,anoth probl,1
490,anoth product,17
491,anoth purchas,1
492,anoth returned,1
493,anoth roll,1
494,anoth sent,1
495,anoth sit,1
496,anoth small,1
497,anoth still,1
498,anoth stor,1
499,anoth tim,2
500,anoth totally,7
501,anoth trying,1
502,anoth twenty,1
503,anoth unit,1
504,anoth urgently,1
505,anoth wa,1
506,anoth want,1
507,answ alway,1
508,answ client,1
509,answ complet,1
510,answ day,1
511,answ delivery,1
512,answ depending,1
513,answ disappointed,1
514,answ eleven,1
515,answ email,2
516,answ exchang,2
517,answ hop,1
518,answ in,1
519,answ is,1
520,answ it,1
521,answ ll,1
522,answ mad,1
523,answ my,2
524,answ nothing,2
525,answ one,1
526,answ phon,2
527,answ questioning,1
528,answ received,1
529,answ reimbursement,1
530,answ result,1
531,answ targaryen,1
532,answ the,2
533,answ to,2
534,answ until,1
535,answ view,1
536,answ when,1
537,answ will,1
538,answ worried,1
539,answ yet,1
540,answered email,2
541,answered the,1
542,answering machin,1
543,antenn not,1
544,anticipated not,1
545,anticipation without,1
546,antoni mari,1
547,anxi doll,1
548,anxi the,1
549,any cell,1
550,any christian,1
551,any information,2
552,any kind,1
553,any motorol,1
554,any product,1
555,any return,1
556,any satisfaction,2
557,any the,1
558,anymor no,1
559,anyon already,1
560,anyon buy,1
561,anyon canist,1
562,anyon eith,1
563,anyon hom,1
564,anyon solv,1
565,anyon the,1
566,anything absurd,1
567,anything already,1
568,anything await,1
569,anything dat,1
570,anything eith,1
571,anything els,1
572,anything end,1
573,anything goe,1
574,anything is,1
575,anything it,1
576,anything run,1
577,anything signed,1
578,anything sold,1
579,anything spent,1
580,anything the,2
581,anything wa,1
582,anything yet,2
583,anyway delivery,1
584,anyway did,2
585,anyway it,1
586,anyway mad,1
587,apach thin,1
588,app not,1
589,apparatu already,1
590,apparently can,1
591,apparently work,1
592,appe advertisement,1
593,appe already,1
594,appe be,1
595,appe brand,1
596,appe corrupted,1
597,appe delivered,2
598,appe given,1
599,appe if,1
600,appe my,1
601,appe one,2
602,appe received,1
603,appe sit,1
604,appe the,7
605,appe voic,2
606,appearanc product,1
607,appeared he,1
608,appeared purchas,1
609,appeared the,1
610,applianc do,1
611,applianc only,1
612,applianc which,1
613,applicatiom bought,1
614,application cancellation,1
615,application not,1
616,application product,1
617,application tool,1
618,appropriat arrangement,1
619,approv reaching,1
620,approved one,1
621,approved the,1
622,approximately fifty,1
623,apr return,1
624,april the,1
625,april twenty,1
626,aqu di,2
627,aquarium connect,1
628,aquarium convert,1
629,aquatic dtv,1
630,arc tempered,1
631,arctic gray,1
632,are already,2
633,are announcing,1
634,are asking,2
635,are clearly,1
636,are difficulti,1
637,are eight,1
638,are faithful,1
639,are filling,1
640,are for,1
641,are going,2
642,are hop,1
643,are illustrated,1
644,are mad,1
645,are many,1
646,are misaligned,1
647,are one,1
648,are punctur,1
649,are rolled,1
650,are seri,1
651,are sor,1
652,are still,1
653,are trustworthy,1
654,are two,4
655,are waiting,1
656,are wanting,1
657,ari complaint,1
658,arising hop,1
659,ark the,1
660,arm pink,1
661,arm want,1
662,armcha missing,1
663,arrangement just,1
664,arriv august,1
665,arriv cam,1
666,arriv can,1
667,arriv chosen,1
668,arriv complained,1
669,arriv did,2
670,arriv expected,1
671,arriv far,2
672,arriv four,2
673,arriv gav,1
674,arriv howev,1
675,arriv it,1
676,arriv lat,1
677,arriv lost,1
678,arriv mail,1
679,arriv my,3
680,arriv ordered,1
681,arriv packed,1
682,arriv product,2
683,arriv sent,1
684,arriv the,6
685,arriv tim,1
686,arriv timely,1
687,arriv togeth,1
688,arriv voic,1
689,arriv yet,1
690,arrived als,1
691,arrived and,1
692,arrived anoth,1
693,arrived arrived,1
694,arrived broken,2
695,arrived but,1
696,arrived called,1
697,arrived cam,3
698,arrived can,2
699,arrived city,1
700,arrived complet,1
701,arrived completely,1
702,arrived correct,1
703,arrived cov,1
704,arrived cracked,1
705,arrived damaged,2
706,arrived deadlin,2
707,arrived defect,2
708,arrived disappointed,1
709,arrived eight,2
710,arrived electronic,1
711,arrived even,2
712,arrived far,1
713,arrived fin,1
714,arrived had,1
715,arrived half,2
716,arrived hom,1
717,arrived howev,1
718,arrived in,1
719,arrived incomplet,2
720,arrived is,3
721,arrived it,2
722,arrived lack,1
723,arrived lat,2
724,arrived lid,1
725,arrived me,2
726,arrived my,6
727,arrived needed,1
728,arrived not,2
729,arrived one,5
730,arrived only,1
731,arrived ord,1
732,arrived paid,1
733,arrived past,1
734,arrived pleas,1
735,arrived product,3
736,arrived risk,1
737,arrived seven,1
738,arrived sinc,1
739,arrived six,1
740,arrived spoiled,1
741,arrived strangled,1
742,arrived the,7
743,arrived today,1
744,arrived togeth,1
745,arrived two,1
746,arrived used,1
747,arrived violated,1
748,arrived voic,2
749,arrived wa,2
750,arrived waiting,2
751,arrived want,1
752,arrived watched,1
753,arrived well,2
754,arrived when,1
755,arrived whit,1
756,arrived without,1
757,arrived would,1
758,arrived yet,4
759,articulated neith,1
760,as delivered,1
761,as doorway,1
762,as forty,1
763,as hand,1
764,as investigated,1
765,as it,3
766,as needed,1
767,as orig,1
768,as the,2
769,ashamed despit,1
770,asid the,1
771,ask bought,1
772,ask company,1
773,ask consistently,1
774,ask delivery,1
775,ask exchang,1
776,ask measur,1
777,ask my,1
778,ask one,1
779,ask product,4
780,ask repayment,1
781,ask send,1
782,ask the,1
783,ask to,3
784,ask what,1
785,ask wish,1
786,asked ad,1
787,asked an,1
788,asked and,1
789,asked cancellation,3
790,asked cancelling,1
791,asked canist,1
792,asked cardboard,1
793,asked chang,1
794,asked chrom,1
795,asked clock,1
796,asked col,1
797,asked deliv,1
798,asked everything,1
799,asked exchang,1
800,asked forty,1
801,asked giv,1
802,asked golden,1
803,asked in,1
804,asked lem,1
805,asked mad,1
806,asked not,3
807,asked one,4
808,asked paid,1
809,asked pur,1
810,asked refund,1
811,asked return,2
812,asked revers,1
813,asked siz,1
814,asked the,3
815,asked to,1
816,asked two,2
817,asked united,1
818,asked wa,1
819,asked wait,1
820,asked whit,1
821,asked whol,1
822,asked wrong,1
823,asking chang,1
824,asking found,1
825,asking received,2
826,asking to,1
827,asking what,1
828,asp po,1
829,aspect old,1
830,aspect requested,1
831,assembly very,1
832,assistanc reporting,1
833,associat compani,1
834,at addres,1
835,at canist,1
836,at correct,1
837,at first,1
838,at least,2
839,at marathon,1
840,at post,1
841,at request,1
842,at the,2
843,at tim,2
844,atemd speculativ,1
845,attempt deceiv,1
846,attempt did,1
847,attempt he,1
848,attempt product,1
849,attempt purchas,2
850,attempt the,1
851,attendanc did,1
852,attendant informed,1
853,attendant lovely,1
854,attendant not,1
855,attendant say,1
856,attention buy,1
857,attention mak,1
858,attention ordered,1
859,attention respect,1
860,attention the,1
861,attitud mak,1
862,august twenty,1
863,aut adhesiv,1
864,authentic gam,1
865,authenticity not,1
866,automatic pric,1
867,automatically thought,1
868,availability product,1
869,availability the,2
870,availabl purchas,1
871,availabl ready,1
872,availabl sal,1
873,availabl the,1
874,availabl to,1
875,availabl two,1
876,avenu hom,1
877,averag doubl,1
878,averag needed,1
879,averag offered,1
880,avoid disord,1
881,avoid we,1
882,aw canist,1
883,await clarification,1
884,await company,1
885,await contact,1
886,await delivery,1
887,await guidanc,3
888,await oth,1
889,await outcom,1
890,await post,1
891,await probl,1
892,await provisiom,1
893,await refund,1
894,await regularization,1
895,await request,1
896,await respons,3
897,await return,2
898,await shipping,1
899,await solution,3
900,await the,2
901,await urgent,2
902,await valu,1
903,awaited the,1
904,awaiting ord,1
905,awaiting receipt,1
906,awaiting return,4
907,awaiting something,1
908,awaiting stor,1
909,bab the,1
910,baby comfort,3
911,baby fell,1
912,baby it,1
913,baby next,1
914,baby pillow,1
915,baby room,1
916,baby tak,1
917,baby would,1
918,back am,1
919,back ask,1
920,back block,1
921,back canist,1
922,back com,1
923,back correction,1
924,back descent,1
925,back do,1
926,back feet,1
927,back guidanc,1
928,back immediately,1
929,back installation,1
930,back long,1
931,back me,1
932,back money,2
933,back not,2
934,back ord,1
935,back product,1
936,back soon,1
937,back stark,1
938,back still,2
939,back thank,1
940,back the,1
941,back to,1
942,back ve,1
943,back waiting,3
944,back want,1
945,backpack only,1
946,bad is,2
947,bad mater,2
948,bad quality,14
949,badly mad,2
950,ball did,2
951,be delivered,13
952,be insuranc,2
953,be reimbursed,2
954,be solved,2
955,be the,2
956,becaus asked,2
957,bed box,2
958,been delivered,2
959,been missing,2
960,been than,2
961,behalf anoth,2
962,behalf someon,2
963,birthday gift,2
964,black cam,2
965,blu col,2
966,blu marin,2
967,bottl the,2
968,bought at,2
969,bought book,2
970,bought canist,8
971,bought casin,2
972,bought clock,6
973,bought did,2
974,bought fiv,4
975,bought for,2
976,bought four,7
977,bought gam,2
978,bought get,2
979,bought hav,2
980,bought in,2
981,bought is,2
982,bought it,3
983,bought kit,3
984,bought micr,2
985,bought not,2
986,bought one,7
987,bought orig,2
988,bought paid,5
989,bought product,38
990,bought six,7
991,bought the,9
992,bought thinking,4
993,bought thought,1
994,bought thre,14
995,bought threextw,1
996,bought totally,1
997,bought turb,1
998,bought twelv,2
999,bought two,86
1000,bought wa,2
1001,bought watch,3
1002,box contact,1
1003,box could,1
1004,box delivered,1
1005,box did,1
1006,box empty,1
1007,box had,1
1008,box is,1
1009,box look,1
1010,box looking,1
1011,box loos,1
1012,box mad,1
1013,box mor,1
1014,box neith,1
1015,box nin,1
1016,box not,1
1017,box only,1
1018,box packed,1
1019,box product,1
1020,box prov,1
1021,box really,1
1022,box received,4
1023,box sed,1
1024,box simil,1
1025,box six,1
1026,box te,1
1027,box the,4
1028,box thre,3
1029,box wa,3
1030,box without,5
1031,brand much,2
1032,brand the,2
1033,broken decreasing,1
1034,broken did,1
1035,broken fram,1
1036,broken glas,1
1037,broken littl,1
1038,broken not,3
1039,broken piec,1
1040,broken plac,1
1041,broken product,3
1042,broken sad,1
1043,broken so,1
1044,broken thre,2
1045,broken tried,1
1046,broken voltag,1
1047,broken wa,1
1048,broken want,3
1049,broken with,1
1050,broom pillow,1
1051,broom the,1
1052,brought one,1
1053,brown carpet,1
1054,brush anoth,1
1055,brush green,1
1056,brush if,1
1057,brush totally,1
1058,bsp step,2
1059,bu ticket,1
1060,bubbl bag,1
1061,bucket spin,1
1062,bug cam,1
1063,bug card,1
1064,building refus,1
1065,bulg film,1
1066,bum mater,1
1067,bumbleeb sent,1
1068,bundl the,1
1069,bureaucracy exchang,1
1070,burm so,1
1071,burned can,1
1072,burned doe,1
1073,burned the,1
1074,busines cam,1
1075,busines chril,1
1076,busines day,1
1077,but fak,1
1078,but going,1
1079,but mistak,1
1080,but nothing,1
1081,but they,1
1082,but thirty,1
1083,but thread,2
1084,but week,1
1085,but will,1
1086,buttom goe,1
1087,buttom no,1
1088,buttom the,1
1089,buy again,1
1090,buy alway,1
1091,buy and,1
1092,buy antenn,1
1093,buy anymor,2
1094,buy anything,3
1095,buy becaus,1
1096,buy canist,6
1097,buy clock,1
1098,buy company,1
1099,buy curaprox,1
1100,buy do,1
1101,buy due,1
1102,buy fiv,1
1103,buy gam,1
1104,buy it,1
1105,buy kit,1
1106,buy lot,1
1107,buy mor,3
1108,buy my,1
1109,buy need,1
1110,buy no,1
1111,buy not,1
1112,buy onlin,1
1113,buy pay,1
1114,buy poorly,1
1115,buy product,5
1116,buy purchas,1
1117,buy repentanc,1
1118,buy sam,1
1119,buy stor,1
1120,buy targaryen,1
1121,buy th,1
1122,buy the,5
1123,buy they,1
1124,buy thil,5
1125,buy total,1
1126,buy want,1
1127,buy wanted,1
1128,buy watch,1
1129,buy we,1
1130,buy wrong,1
1131,buy you,1
1132,buying amer,1
1133,buying blackout,1
1134,buying canist,1
1135,buying chop,1
1136,buying internet,1
1137,buying product,2
1138,buying sit,1
1139,buying stainles,1
1140,buying thil,1
1141,by email,2
1142,by far,1
1143,by me,1
1144,by surpris,1
1145,by the,1
1146,cabl the,2
1147,call complain,2
1148,called the,2
1149,calling to,2
1150,cam acros,2
1151,cam anoth,10
1152,cam black,2
1153,cam broken,18
1154,cam burned,2
1155,cam correct,3
1156,cam damaged,5
1157,cam defect,13
1158,cam different,10
1159,cam dirty,2
1160,cam fak,2
1161,cam faulty,3
1162,cam half,2
1163,cam loos,2
1164,cam missing,12
1165,cam not,2
1166,cam one,28
1167,cam open,3
1168,cam ripped,2
1169,cam spoiled,2
1170,cam tablet,2
1171,cam the,19
1172,cam totally,5
1173,cam two,3
1174,cam whit,2
1175,cam without,6
1176,cam wrapped,2
1177,cam wrong,21
1178,can contact,3
1179,can evaluat,11
1180,can even,2
1181,can get,2
1182,can not,9
1183,can solv,3
1184,can talk,4
1185,cancel purchas,5
1186,cancel request,3
1187,cancel the,12
1188,canceled purchas,3
1189,canceled request,6
1190,canceled the,3
1191,canceled without,2
1192,cancellation not,2
1193,cancellation product,2
1194,cancellation purchas,2
1195,cancellation request,3
1196,cancellation return,2
1197,cancellation the,4
1198,cancelling purchas,3
1199,canist com,11
1200,canist complaint,1
1201,canist custom,1
1202,canist delivered,2
1203,canist deliveri,1
1204,canist did,1
1205,canist doe,1
1206,canist doing,1
1207,canist expecting,1
1208,canist had,1
1209,canist happened,1
1210,canist hesitation,1
1211,canist informing,1
1212,canist it,1
1213,canist know,1
1214,canist mak,1
1215,canist many,1
1216,canist methodology,1
1217,canist mor,1
1218,canist nam,1
1219,canist neith,1
1220,canist nev,1
1221,canist no,3
1222,canist not,4
1223,canist of,1
1224,canist on,1
1225,canist paid,1
1226,canist partn,3
1227,canist phon,1
1228,canist pleas,1
1229,canist plu,1
1230,canist positioning,1
1231,canist probl,1
1232,canist received,1
1233,canist represent,1
1234,canist republished,1
1235,canist requesting,1
1236,canist responsibility,2
1237,canist sit,1
1238,canist st,15
1239,canist stopped,1
1240,canist stor,3
1241,canist sup,1
1242,canist suppli,1
1243,canist syst,1
1244,canist targaryen,3
1245,canist the,3
1246,canist ther,1
1247,canist they,1
1248,canist thil,1
1249,canist thinking,2
1250,canist to,1
1251,canist turned,1
1252,canist wa,1
1253,canist websit,10
1254,canist well,1
1255,cap with,1
1256,capit cep,1
1257,capsul find,1
1258,capsul not,1
1259,capsul received,2
1260,capsul the,1
1261,car arrived,2
1262,car car,1
1263,car cli,1
1264,car different,1
1265,car entered,1
1266,car horribl,1
1267,car model,1
1268,car not,1
1269,car nothing,1
1270,car piec,1
1271,car trac,1
1272,car train,1
1273,car vacuum,1
1274,car wa,1
1275,carbon advanc,1
1276,card ability,1
1277,card administra,1
1278,card await,1
1279,card awaiting,1
1280,card cam,2
1281,card did,3
1282,card due,1
1283,card evolution,1
1284,card finally,1
1285,card microshc,1
1286,card new,1
1287,card not,1
1288,card now,1
1289,card only,3
1290,card received,2
1291,card released,1
1292,card sand,1
1293,card sinc,1
1294,card summarizing,1
1295,card targaryen,1
1296,card the,2
1297,card then,1
1298,card they,1
1299,card troubl,1
1300,card unfortunat,1
1301,card wa,1
1302,card want,1
1303,card will,1
1304,card work,1
1305,cardboard box,1
1306,cardboard export,1
1307,care thre,1
1308,carefully cam,1
1309,carpet did,1
1310,carpet it,1
1311,carpet ninetyxon,1
1312,carpet not,2
1313,carpet only,1
1314,carpet received,1
1315,carpet the,1
1316,carpet very,1
1317,carri handed,1
1318,carri if,1
1319,carri no,1
1320,carri reported,1
1321,carri until,1
1322,carried wa,1
1323,carry thil,1
1324,carrying nothing,1
1325,cart baby,1
1326,cart delivered,1
1327,cart mos,1
1328,cart solv,1
1329,cart the,2
1330,cartel col,1
1331,cartridg cam,2
1332,cartridg comput,1
1333,cartridg correct,1
1334,cartridg did,1
1335,cartridg expensiv,1
1336,cartridg handed,1
1337,cartridg last,1
1338,cartridg messag,1
1339,cartridg non,1
1340,cartridg not,3
1341,cartridg one,1
1342,cartridg phon,1
1343,cartridg print,2
1344,cartridg providenc,1
1345,cartridg received,1
1346,cartridg sold,1
1347,cartridg stopped,1
1348,cartridg we,1
1349,cartridg when,1
1350,cartridg would,1
1351,cas bought,1
1352,cas cas,3
1353,cas clock,1
1354,cas contaim,1
1355,cas evaluatiom,1
1356,cas my,1
1357,cas nf,1
1358,cas one,1
1359,cas send,1
1360,cascad pr,1
1361,casin clock,1
1362,casin model,2
1363,casin ros,1
1364,casin vintag,1
1365,casin watch,3
1366,cat har,1
1367,cat the,1
1368,category apach,1
1369,caus the,1
1370,cd accompanying,1
1371,cd but,1
1372,cd the,1
1373,cd tried,1
1374,ceas two,1
1375,cell phon,9
1376,cellul numb,1
1377,cent one,1
1378,cent very,1
1379,centr canist,1
1380,centr control,1
1381,centr delivered,1
1382,centr jeep,2
1383,centr of,1
1384,cep twenty,1
1385,cepfifty fiv,1
1386,cepthirty one,1
1387,certain delivery,1
1388,certain urgency,1
1389,certainly would,1
1390,certainty the,1
1391,certificat pap,1
1392,cf eight,1
1393,cg one,1
1394,cha anoth,1
1395,cha arm,1
1396,cha arrived,1
1397,cha be,2
1398,cha beautiful,1
1399,cha bought,3
1400,cha cam,2
1401,cha following,1
1402,cha get,1
1403,cha in,1
1404,cha missing,1
1405,cha only,1
1406,cha received,2
1407,cha seat,1
1408,cha that,1
1409,cha two,1
1410,cha without,1
1411,cha wiv,1
1412,chan clotheslin,1
1413,chandeli are,1
1414,chandeli cam,1
1415,chandeli wa,1
1416,chang addres,1
1417,chang anoth,1
1418,chang ask,1
1419,chang cancel,1
1420,chang could,1
1421,chang err,1
1422,chang evaluation,2
1423,chang lot,1
1424,chang no,1
1425,chang not,1
1426,chang operation,1
1427,chang opinion,1
1428,chang product,3
1429,chang return,1
1430,chang sit,1
1431,chang the,4
1432,chang ther,1
1433,chang they,1
1434,chang unsuccessful,1
1435,changed asid,1
1436,changed batteri,1
1437,changed continu,1
1438,changed doe,1
1439,changed waiting,1
1440,changed would,1
1441,channel could,1
1442,channel want,1
1443,charg arrived,1
1444,charg battery,1
1445,charg black,1
1446,charg cell,1
1447,charg for,1
1448,charg her,1
1449,charg howev,1
1450,charg my,1
1451,charg not,3
1452,charg orig,1
1453,charg qi,1
1454,charg sent,1
1455,charg set,1
1456,charg singl,1
1457,charg tablet,1
1458,charg the,3
1459,charg when,1
1460,charg whit,1
1461,charg without,1
1462,chargeback waiting,1
1463,charged appe,1
1464,charged demand,1
1465,charged extended,1
1466,charged freight,1
1467,charged is,1
1468,charged my,1
1469,charged phon,1
1470,charged two,1
1471,charged very,1
1472,charging two,1
1473,cheap company,1
1474,cheap product,1
1475,cheap unfortunat,1
1476,cheated canist,1
1477,cheated it,1
1478,cheated product,1
1479,check appe,1
1480,check email,1
1481,check enjoy,1
1482,check happened,1
1483,check progres,1
1484,check the,5
1485,check urgently,1
1486,check what,1
1487,checked information,1
1488,checked it,1
1489,checked product,1
1490,checked that,1
1491,checking availability,1
1492,chemic fertiliz,1
1493,chemistry very,1
1494,child carbon,1
1495,child casin,1
1496,child risk,1
1497,child too,1
1498,child wa,1
1499,child watching,1
1500,childhood education,1
1501,children cha,1
1502,children the,1
1503,chin am,1
1504,chin bad,1
1505,chin hug,1
1506,chin still,1
1507,chin want,1
1508,chines misleading,1
1509,chines not,1
1510,ching ling,1
1511,chip cam,1
