,phrases,frequency,English
239,box,62,
240,br,2,
241,brace,1,
242,bracelet,3,
243,bracket,1,
244,brake,1,
245,brand,16,
246,brazil,1,
247,brazilian,1,
248,break,2,
249,breast,1,
250,breastfront,1,
251,bright,1,
252,bring,1,
253,bristl,2,
254,broke,1,
255,broken,43,
256,broom,2,
257,brought,1,
258,brown,2,
259,brush,4,
260,bsp,2,
261,bu,1,
262,bubbl,1,
263,bucket,1,
264,bug,2,
265,build,1,
266,bulg,1,
267,bum,1,
268,bumbleeb,1,
269,bundl,1,
270,bureaucraci,1,
271,burn,4,
272,busi,4,
273,but,10,
274,button,5,
275,buy,84,
276,by,7,
277,cabl,9,
278,cachepot,1,
279,calcul,1,
280,call,32,
281,came,277,
282,camel,4,
283,camelodromo,1,
284,camera,3,
285,can,55,
286,cancel,100,
287,candl,1,
288,cane,1,
289,canist,116,
290,cap,1,
291,capit,1,
292,capsul,8,
293,car,14,
294,carbon,1,
295,card,44,
296,cardboard,2,
297,care,6,
298,career,1,
299,carpet,9,
300,carri,3,
301,carrier,8,
302,cart,6,
303,cartel,1,
304,cartridg,24,
305,cascad,1,
306,case,12,
307,casino,9,
308,cat,2,
309,categori,1,
310,caus,1,
311,cd,4,
312,cdc,1,
313,ceas,1,
314,cel,1,
315,cell,9,
316,cellular,1,
317,center,3,
318,central,7,
319,cep,1,
320,cepfifti,1,
321,cepthirti,1,
322,certain,2,
323,certainli,1,
324,certainti,1,
325,certif,2,
326,cf,1,
327,cg,1,
328,cha,1,
329,chair,28,
330,chan,1,
331,chandeli,3,
332,chang,36,
333,channel,2,
334,charg,23,
335,chargeback,1,
336,charger,17,
337,cheap,1,
338,cheaper,2,
339,cheat,3,
340,check,17,
341,chemic,1,
342,chemistri,1,
343,child,6,
344,childhood,1,
345,children,2,
346,china,5,
347,chines,3,
348,ching,1,
349,chip,2,
350,chlorin,1,
351,chocol,1,
352,choke,1,
353,choos,6,
354,chop,1,
355,chose,4,
356,chosen,1,
357,chri,1,
358,christian,1,
359,chrome,2,
360,chromebook,1,
361,cigarett,1,
362,cim,1,
363,cipestan,1,
364,citi,8,
365,claim,5,
366,clarif,3,
367,clarifi,1,
368,class,3,
369,classic,1,
370,clay,2,
371,clean,2,
372,cleaner,3,
373,clear,6,
374,clearli,4,
375,clerk,1,
376,client,17,
377,clio,1,
378,clock,43,
379,clone,1,
380,close,6,
381,cloth,5,
382,clotheslin,1,
383,clowningaaaaaaaaaaaaaaaaaaaaaaaa,1,
384,cm,4,
385,coal,1,
386,coars,1,
387,coconut,1,
388,code,15,
389,coffe,1,
390,coher,1,
391,coil,1,
392,collagen,1,
393,collect,1,
394,color,54,
395,com,11,
396,comb,1,
397,combat,1,
398,combin,5,
399,combo,4,
400,come,86,
401,comfort,5,
402,command,1,
403,comment,8,
404,commerci,1,
405,commit,6,
406,commun,6,
407,compani,51,
408,companion,1,
409,compar,1,
410,compat,3,
411,compel,1,
412,compet,1,
413,competitor,1,
414,complain,15,
415,complaint,26,
416,complet,26,
417,compon,3,
418,compos,1,
419,composit,3,
420,compromis,3,
421,comput,3,
422,concern,3,
423,concert,1,
424,conclus,2,
425,concret,1,
426,condit,5,
427,cone,1,
428,confer,4,
429,confid,1,
430,configur,2,
431,confirm,8,
432,connect,10,
433,connector,4,
434,consensu,1,
435,consid,3,
436,consider,1,
437,consign,1,
438,consist,7,
439,constant,1,
440,constantli,1,
441,construct,1,
442,consult,2,
443,consum,17,
444,consumpt,2,
445,contact,66,
446,contain,5,
447,content,3,
448,continu,3,
449,control,10,
450,converg,1,
451,convert,2,
452,conveyor,2,
453,cook,2,
454,cooker,1,
455,cool,1,
456,cooler,1,
457,cooper,1,
458,copi,1,
459,coppa,1,
460,copper,5,
461,core,1,
462,corner,1,
463,corona,1,
464,correct,27,
465,correctli,10,
466,correspond,9,
467,corrupt,2,
468,cost,5,
469,cotton,2,
470,could,30,
471,count,2,
472,counterfeit,3,
473,countri,2,
474,coupl,10,
475,courag,1,
476,courier,1,
477,cours,1,
478,court,1,
479,cover,19,
480,coward,1,
481,crack,8,
482,cradl,2,
483,crap,6,
484,crash,1,
485,creat,3,
486,creator,1,
487,credit,11,
488,creep,1,
489,crime,1,
490,crisp,1,
491,criterion,1,
492,crook,3,
493,crossbow,1,
494,crown,1,
495,crude,1,
496,crystal,1,
497,cuba,2,
498,cup,4,
499,curaprox,1,
500,curli,1,
501,current,1,
502,curricular,2,
503,curtain,16,
504,cushion,2,
505,custom,29,
506,cut,2,
507,cute,1,
508,da,2,
509,dab,1,
510,daili,1,
511,damag,18,
512,dark,2,
513,dash,1,
514,data,1,
515,date,32,
516,daughter,2,
517,day,107,
518,de,2,
519,dead,2,
520,deadlin,79,
521,dear,2,
522,deceit,1,
523,deceiv,7,
524,decept,2,
525,decid,3,
526,decim,1,
527,deck,1,
528,declar,1,
529,decor,1,
530,decreas,1,
531,dedic,1,
532,deep,1,
533,deepli,1,
534,default,1,
535,defect,45,
536,degre,2,
537,delay,40,
538,deliv,333,
539,deliveri,174,
540,demand,5,
541,demonstr,3,
542,deni,1,
543,depend,3,
544,der,2,
545,dermal,2,
546,descent,1,
547,describ,11,
548,descript,17,
549,design,2,
550,desir,3,
551,desk,2,
552,deskjet,3,
553,desktop,1,
554,desol,1,
555,despit,9,
556,destin,1,
557,detail,4,
558,detalh,1,
559,detect,2,
560,devic,4,
561,devis,1,
562,di,2,
563,dial,1,
564,diamet,1,
565,did,261,
566,diego,1,
567,diff,1,
568,differ,91,
569,difficult,5,
570,difficulti,4,
571,digit,7,
572,dimens,2,
573,dir,1,
574,direct,2,
575,directli,1,
576,dirt,1,
577,dirti,6,
578,disagr,1,
579,disappoint,52,
580,disast,1,
581,discont,1,
582,discontinu,1,
583,discount,4,
584,discov,4,
585,discret,1,
586,discrimin,1,
587,disguis,1,
588,disgust,1,
589,dishwash,1,
590,dismiss,1,
591,disord,4,
592,dispatch,4,
593,disproportion,1,
594,disregard,3,
595,disrespect,1,
596,dissatisfact,2,
597,dissatisfi,25,
598,distanc,1,
599,distant,1,
600,distinct,1,
601,distribut,3,
602,disturb,1,
603,diverg,8,
604,divers,1,
605,divert,2,
606,divid,1,
607,do,114,
608,doe,38,
609,dog,3,
610,doll,6,
611,done,15,
612,door,1,
613,doorway,2,
614,doubl,7,
615,doubt,5,
616,download,1,
617,draft,1,
618,drainag,1,
619,draw,5,
620,dri,2,
621,drive,2,
622,driver,8,
623,dryer,1,
624,dtv,1,
625,dual,1,
626,dubiou,2,
627,due,11,
628,dure,1,
629,dust,1,
630,duti,1,
631,dvd,1,
632,dye,1,
633,each,7,
634,eagerli,1,
635,ear,1,
636,earli,3,
637,eas,1,
638,easi,2,
639,easili,2,
640,eat,1,
641,edg,2,
642,edit,1,
643,educ,2,
644,effect,6,
645,effici,1,
646,eiga,1,
647,eight,68,
648,eighteen,48,
649,eighth,1,
650,eighti,11,
651,eightxon,1,
652,either,3,
653,elaps,1,
654,elast,3,
655,electr,2,
656,electrolux,1,
657,electron,2,
658,eleg,2,
659,eleph,1,
660,eletrobomba,1,
661,eleven,7,
662,eleventh,1,
663,els,9,
664,email,43,
665,embarrass,1,
666,emin,1,
667,emit,3,
668,empti,6,
669,end,10,
670,energi,1,
671,engag,1,
672,english,1,
673,enjoy,1,
674,enough,2,
675,enter,11,
676,entir,1,
677,envelop,4,
678,ep,1,
679,equal,9,
680,equip,2,
681,er,1,
682,eras,3,
683,ergoasi,1,
684,error,9,
685,especi,1,
686,essenc,1,
687,establish,1,
688,estelionato,1,
689,estim,4,
690,et,1,
691,etc,1,
692,eva,1,
693,evalu,28,
694,eve,1,
695,even,55,
696,ever,3,
697,everi,5,
698,everyon,1,
699,everyth,10,
700,evil,3,
701,evolut,2,
702,exact,1,
703,exactli,1,
704,exceed,1,
705,excel,1,
706,except,2,
707,excess,1,
708,exchang,86,
709,excus,1,
710,execut,1,
711,exercis,3,
712,exhaust,2,
713,exist,2,
714,expand,1,
715,expect,29,
716,expens,12,
717,experi,2,
718,expir,3,
719,explain,7,
720,explan,6,
721,export,3,
722,extend,3,
723,extens,2,
724,extern,2,
725,extract,1,
726,extrapol,1,
727,extrem,7,
728,fabric,8,
729,face,2,
730,facet,2,
731,fact,6,
732,factori,1,
733,fade,1,
734,fail,1,
735,failur,2,
736,fair,1,
737,faith,4,
738,fake,8,
739,falast,1,
740,fall,3,
741,fals,13,
742,falsifi,7,
743,famili,2,
744,fan,2,
745,fantasi,1,
746,far,121,
747,fashion,1,
748,fast,1,
749,faster,1,
750,fault,2,
751,faulti,4,
752,favor,1,
753,fe,1,
754,fear,1,
755,feat,1,
756,featur,1,
757,feedback,3,
758,feel,8,
759,feet,3,
760,fell,5,
761,felpudo,1,
762,felt,2,
763,femal,3,
764,feminin,1,
765,fertil,1,
766,few,3,
767,fi,1,
768,fiber,1,
769,field,1,
770,fifteen,13,
771,fifth,1,
772,fifti,29,
773,fiftyxsixti,1,
774,fiftyxtwo,1,
775,figur,1,
776,filament,1,
777,file,1,
778,fill,6,
779,film,13,
780,filter,7,
781,final,5,
782,find,3,
783,fine,4,
784,finish,11,
785,first,31,
786,fiscal,1,
787,fit,15,
788,five,77,
789,fix,2,
790,fixat,1,
791,fixtur,1,
792,flag,1,
793,flavor,1,
794,flaxse,1,
795,flee,1,
796,flexibl,2,
797,floor,1,
798,flower,2,
799,foam,1,
800,focu,1,
801,fold,2,
802,follow,7,
803,fool,2,
804,foot,1,
805,footag,3,
806,for,18,
807,forbidden,1,
808,forc,2,
809,forecast,11,
810,forget,1,
811,form,1,
812,format,1,
813,former,1,
814,formul,1,
815,forti,28,
816,forward,3,
817,found,13,
818,four,89,
819,fourteen,3,
820,fourth,5,
821,fractur,1,
822,fragil,7,
823,frame,7,
824,fraud,1,
825,free,2,
826,freight,33,
827,friend,4,
828,from,13,
829,front,1,
830,fruit,2,
831,frustrat,2,
832,fulfil,15,
833,full,11,
834,fulli,2,
835,function,4,
836,funk,1,
837,furnitur,1,
838,further,1,
839,fuse,1,
840,futsal,2,
841,fuzzi,1,
842,ga,1,
843,gabriel,2,
844,gadget,1,
845,gain,1,
846,galaxi,1,
847,game,9,
848,garbag,2,
849,gasolin,1,
850,gave,33,
851,gel,2,
852,gener,9,
853,genesi,1,
854,german,1,
855,get,100,
856,gh,1,
857,gift,5,
858,gig,1,
859,giga,1,
860,ginger,1,
861,give,53,
862,given,11,
863,glass,12,
864,glaze,1,
865,glove,3,
866,glu,4,
867,glue,3,
868,go,32,
869,goal,1,
870,goe,4,
871,gold,3,
872,golden,6,
873,gone,1,
874,good,67,
875,goodnight,2,
876,got,26,
877,graciou,1,
878,gram,1,
879,grass,2,
880,grate,2,
881,gray,7,
882,great,3,
883,greater,4,
884,greatli,1,
885,greek,1,
886,green,3,
887,grill,1,
888,grind,1,
889,grinder,3,
890,grow,2,
891,gt,3,
892,guarana,1,
893,guarante,3,
894,guard,2,
895,guess,1,
896,guidanc,6,
897,guitar,1,
898,guy,1,
899,gym,1,
900,ha,45,
901,had,59,
902,hair,1,
903,half,9,
904,halfway,1,
905,hand,9,
906,handl,5,
907,handset,1,
908,happen,33,
909,happi,2,
910,hard,3,
911,hardest,1,
912,hare,1,
913,harm,2,
914,harmoni,1,
915,hatchet,1,
916,hate,4,
917,have,153,
918,hay,1,
919,hb,1,
920,hc,1,
921,hd,4,
922,hdi,2,
923,he,16,
924,head,1,
925,headach,5,
926,headphon,2,
927,headset,1,
928,heal,1,
929,health,1,
930,height,3,
931,held,3,
932,hello,10,
933,helmet,2,
934,help,5,
935,hemovit,1,
936,henri,1,
937,here,2,
938,hesit,1,
939,hi,2,
940,high,4,
941,highlight,1,
942,hilfig,1,
943,him,1,
944,hinder,1,
945,hit,2,
946,hj,6,
947,hold,1,
948,holder,1,
949,hole,2,
950,home,14,
951,honestli,1,
952,hood,1,
953,hope,26,
954,horribl,15,
955,horror,1,
956,hors,1,
957,hose,1,
958,hot,1,
959,hour,9,
960,hous,11,
961,hove,1,
962,hover,1,
963,how,4,
964,howev,26,
965,hp,5,
966,hub,1,
967,huge,3,
968,hugo,1,
969,hundr,120,
970,hung,1,
971,hurri,1,
972,hurrican,1,
973,hurt,1,
974,hv,1,
975,hydrat,1,
976,hygien,2,
977,hyperopia,4,
978,idea,2,
979,ident,1,
980,identif,1,
981,identifi,1,
982,ie,1,
983,if,17,
984,ignit,1,
985,ignor,1,
986,iii,1,
987,illustr,3,
988,imag,16,
989,imagin,1,
990,immedi,9,
991,imperi,1,
992,import,2,
993,impos,1,
994,imposs,8,
995,impress,2,
996,improv,4,
997,improvis,1,
998,in,61,
999,inadequ,2,
1000,inappropri,1,
1001,inch,1,
1002,includ,3,
1003,incompat,1,
1004,incomplet,12,
1005,incorrect,6,
1006,increas,1,
1007,incred,1,
1008,indic,12,
1009,indign,2,
1010,individu,1,
1011,induc,2,
1012,ineffici,1,
1013,inf,1,
1014,infer,1,
1015,inform,63,
1016,infus,2,
1017,inganosa,1,
1018,inicio,1,
1019,injur,5,
1020,ink,8,
1021,inner,1,
1022,inrresponsabiliad,1,
1023,insid,6,
1024,instal,15,
1025,instant,1,
1026,instead,4,
1027,institut,1,
1028,instruct,4,
1029,insur,2,
1030,intact,1,
1031,intak,1,
1032,intend,1,
1033,inter,1,
1034,interest,5,
1035,intern,1,
1036,internet,6,
1037,introduct,1,
1038,inventori,1,
1039,investig,1,
1040,iphon,4,
1041,iran,1,
1042,iron,3,
1043,irrespons,1,
1044,irrit,2,
1045,is,129,
1046,iso,1,
1047,isol,1,
1048,issu,16,
1049,issuanc,3,
1050,it,171,
1051,italian,1,
1052,item,35,
1053,ivan,1,
1054,ivori,2,
1055,ja,1,
1056,janeiro,1,
1057,janitor,1,
1058,januari,1,
1059,jar,2,
1060,jeep,2,
1061,jessica,5,
1062,jesu,1,
1063,job,1,
1064,joke,1,
1065,judg,2,
1066,juli,3,
1067,julian,2,
1068,jump,1,
1069,june,3,
1070,just,24,
1071,justic,2,
1072,justif,5,
1073,justifi,2,
1074,kd,1,
1075,kdlforti,1,
1076,keep,1,
1077,keeper,1,
1078,kem,1,
1079,kettl,1,
1080,key,1,
1081,keyboard,1,
1082,kg,2,
1083,kind,4,
1084,kindli,2,
1085,king,1,
1086,kit,31,
1087,kitchen,1,
1088,knew,1,
1089,knife,2,
1090,knit,1,
1091,knive,1,
1092,know,76,
1093,label,5,
1094,lack,31,
1095,lament,1,
1096,lamp,2,
1097,landsim,1,
1098,laps,1,
1099,larg,7,
1100,larger,2,
1101,last,15,
1102,latch,1,
1103,late,12,
1104,later,1,
1105,launch,1,
1106,laundri,1,
1107,law,2,
1108,lawyer,1,
1109,lazi,1,
1110,lead,1,
1111,leagu,1,
1112,leak,2,
1113,learn,1,
1114,leas,1,
1115,least,5,
1116,leather,2,
1117,leav,5,
1118,led,3,
1119,left,6,
1120,leg,1,
1121,legibl,1,
1122,lego,2,
1123,len,7,
1124,lend,1,
1125,length,1,
1126,lenient,1,
1127,lens,10,
1128,less,6,
1129,let,5,
1130,letter,2,
1131,level,1,
1132,levi,1,
1133,lg,1,
1134,liar,1,
1135,licens,2,
1136,lid,7,
1137,lie,1,
1138,life,4,
1139,lifetim,1,
1140,light,6,
1141,lighthous,1,
1142,ligu,1,
1143,like,84,
1144,lilac,1,
1145,limoncello,1,
1146,line,2,
1147,ling,1,
1148,link,2,
1149,lint,1,
1150,liquid,1,
1151,list,2,
1152,listen,1,
1153,lithium,1,
1154,littl,9,
1155,live,5,
1156,ll,8,
1157,load,2,
1158,lock,4,
1159,log,1,
1160,logist,1,
1161,lol,1,
1162,long,21,
1163,longer,6,
1164,look,22,
1165,loos,11,
1166,lord,1,
1167,lose,1,
1168,loss,1,
1169,lost,11,
1170,lot,14,
1171,lousi,9,
1172,lovato,1,
1173,love,5,
1174,low,13,
1175,lower,17,
1176,lucha,1,
1177,luminari,14,
1178,lx,1,
1179,ma,1,
1180,macaw,1,
1181,machin,4,
1182,macho,1,
1183,made,107,
1184,magazin,1,
1185,magnesium,1,
1186,magnet,1,
1187,mail,49,
1188,main,4,
1189,maintain,1,
1190,mairi,2,
1191,major,1,
1192,make,48,
1193,mal,1,
1194,malaysia,1,
1195,male,1,
1196,malfunct,1,
1197,man,2,
1198,manag,1,
1199,mandatori,1,
1200,manga,1,
1201,mani,6,
1202,manifest,1,
1203,manipul,1,
1204,manner,2,
1205,mantra,1,
1206,manual,12,
1207,manufactur,2,
1208,marathon,9,
1209,march,1,
1210,maria,1,
1211,marin,2,
1212,mario,1,
1213,marit,1,
1214,mark,11,
1215,marker,1,
1216,market,5,
1217,marketplac,1,
1218,marri,1,
1219,mask,1,
1220,match,10,
1221,materi,18,
1222,matter,3,
1223,mattress,6,
1224,maximum,4,
1225,may,7,
1226,mayb,1,
1227,me,24,
1228,mean,2,
1229,measur,6,
1230,mechan,3,
1231,medic,1,
1232,medicin,1,
1233,medidora,1,
1234,meet,9,
1235,mega,1,
1236,member,1,
1237,memori,7,
1238,men,1,
1239,mention,4,
1240,merchandis,36,
1241,mere,3,
1242,mesh,1,
1243,mess,1,
1244,messag,19,
1245,messi,2,
1246,metal,2,
1247,meter,3,
1248,methodolog,1,
1249,metro,2,
1250,mg,1,
1251,mi,2,
1252,micro,7,
1253,microphon,1,
1254,microshc,1,
1255,microsoft,1,
1256,microwav,1,
1257,middl,1,
1258,million,18,
1259,mine,5,
1260,minecraft,2,
1261,mini,2,
1262,minimum,2,
1263,minor,1,
1264,mint,1,
1265,minut,2,
1266,mirror,3,
1267,misalign,1,
1268,misconcept,1,
1269,misinform,1,
1270,mislead,12,
1271,miss,76,
1272,mistak,10,
1273,mix,2,
1274,ml,3,
1275,mm,2,
1276,mobil,1,
1277,mode,3,
1278,model,40,
1279,moment,11,
1280,money,70,
1281,monica,1,
1282,month,38,
1283,mop,3,
1284,moral,1,
1285,morandin,1,
1286,more,17,
1287,morn,17,
1288,mose,1,
1289,mosquito,3,
1290,most,2,
1291,moto,1,
1292,motor,2,
1293,motorcycl,1,
1294,motorola,2,
1295,mount,1,
1296,mous,4,
1297,move,1,
1298,movement,1,
1299,movi,2,
1300,msg,2,
1301,mt,4,
1302,much,22,
1303,muitissimo,1,
1304,multimedia,1,
1305,music,1,
1306,musket,1,
1307,my,122,
1308,myself,1,
1309,na,1,
1310,nadega,1,
1311,naestou,1,
1312,nail,1,
1313,name,8,
1314,nan,1,
1315,nap,1,
1316,narrow,2,
1317,nascar,3,
1318,nation,1,
1319,nativ,2,
1320,natur,1,
1321,naughti,1,
1322,navi,1,
1323,ncaa,1,
1324,nda,1,
1325,ne,1,
1326,necessari,2,
1327,necklac,1,
1328,neckti,1,
1329,need,56,
1330,neg,10,
1331,neglect,4,
1332,negreiro,1,
1333,neither,10,
1334,net,4,
1335,network,7,
1336,never,30,
1337,new,8,
1338,news,5,
1339,next,6,
1340,nf,12,
1341,ngm,1,
1342,nica,1,
1343,nich,1,
1344,niec,1,
1345,night,3,
1346,nine,37,
1347,nineteen,3,
1348,nineti,16,
1349,ninetyxon,1,
1350,ninexthirti,1,
1351,ning,1,
1352,nitro,1,
1353,nizzio,1,
1354,no,61,
1355,nobodi,4,
1356,nois,3,
1357,non,9,
1358,noncompli,1,
1359,none,3,
1360,nonexist,1,
1361,nor,2,
1362,not,703,
1363,note,28,
1364,notebook,2,
1365,noth,90,
1366,notic,1,
1367,notif,2,
1368,notion,1,
1369,now,20,
1370,nowher,1,
1371,num,1,
1372,number,12,
1373,numer,1,
1374,nutrit,2,
1375,ob,1,
1376,object,4,
1377,oblig,1,
1378,observ,3,
1379,obtain,4,
1380,occur,8,
1381,occurr,2,
1382,of,31,
1383,offer,10,
1384,offic,46,
1385,oil,1,
1386,ok,1,
1387,ol,2,
1388,old,12,
1389,oliv,1,
1390,ombudsman,3,
1391,omiss,1,
1392,omit,1,
1393,on,16,
1394,onc,1,
1395,one,364,
1396,onebdf,1,
1397,onexfifti,1,
1398,onli,88,
1399,onlin,2,
1400,open,34,
1401,oper,4,
1402,opinion,10,
1403,opposit,1,
1404,option,8,
1405,or,8,
1406,orang,2,
1407,order,60,
1408,organ,4,
1409,orient,2,
1410,origin,49,
1411,ornament,1,
1412,os,1,
1413,other,27,
1414,otherwis,5,
1415,oust,1,
1416,out,2,
1417,outcom,1,
1418,outdat,2,
1419,outer,1,
1420,outlet,4,
1421,outrag,3,
1422,outsid,3,
1423,over,2,
1424,overcom,1,
1425,owe,1,
1426,pack,18,
1427,packag,49,
1428,packet,2,
1429,paid,102,
1430,paint,3,
1431,pair,3,
1432,palett,1,
1433,pan,5,
1434,panda,1,
1435,paper,2,
1436,paraguay,1,
1437,parallel,3,
1438,parent,1,
1439,part,18,
1440,parti,7,
1441,partial,2,
1442,partner,24,
1443,partnership,2,
1444,pass,12,
1445,passag,2,
1446,passim,2,
1447,passiv,1,
1448,passport,1,
1449,past,5,
1450,path,1,
1451,pattern,2,
1452,paulo,2,
1453,pay,15,
1454,payment,22,
1455,pc,3,
1456,pearl,1,
1457,peel,1,
1458,pen,2,
1459,pend,1,
1460,pendant,8,
1461,pendriv,1,
1462,penni,1,
1463,peopl,3,
1464,per,1,
1465,perceiv,2,
1466,perfect,2,
1467,perform,4,
1468,perfum,16,
1469,perhap,1,
1470,peri,1,
1471,period,2,
1472,pernambuco,1,
1473,persist,1,
1474,person,9,
1475,peso,1,
1476,pessimima,1,
1477,pet,3,
1478,pf,1,
1479,ph,1,
1480,philip,1,
1481,phone,33,
1482,photo,55,
1483,physic,2,
1484,pick,1,
1485,picolin,1,
1486,pictur,7,
1487,pie,1,
1488,piec,24,
1489,pigment,1,
1490,pillow,7,
1491,pillowcas,2,
1492,pin,1,
1493,pine,1,
1494,pink,3,
1495,pipett,1,
1496,piraci,1,
1497,pirat,3,
1498,piston,2,
1499,place,14,
1500,plan,3,
1501,plant,2,
1502,plastic,11,
1503,plate,4,
1504,platform,1,
1505,play,6,
1506,pleas,25,
1507,plot,2,
1508,plu,9,
1509,plush,1,
1510,po,1,
1511,point,2,
1512,pointer,2,
1513,polivitamin,1,
1514,poll,1,
1515,pond,1,
1516,poor,31,
1517,poorli,8,
1518,porn,1,
1519,portrait,1,
1520,posit,33,
1521,possibl,8,
1522,post,58,
1523,postag,1,
1524,postal,2,
1525,pot,6,
1526,potato,1,
1527,pour,1,
1528,powder,2,
1529,power,2,
1530,pr,1,
1531,practic,1,
1532,preacher,2,
1533,precis,3,
1534,predict,2,
1535,prefer,2,
1536,prejudic,1,
1537,premium,2,
1538,prepar,1,
1539,present,21,
1540,preserv,2,
1541,press,2,
1542,pressur,3,
1543,prestito,1,
1544,prevent,1,
1545,previou,3,
1546,price,15,
1547,primari,1,
1548,print,15,
1549,printer,16,
1550,pro,2,
1551,problem,76,
1552,proce,1,
1553,procedur,2,
1554,proceed,4,
1555,process,5,
1556,processor,1,
1557,prod,2,
1558,produc,1,
1559,product,1209,
1560,profession,4,
1561,professor,1,
1562,progress,5,
1563,promis,3,
1564,promot,1,
1565,pronounc,1,
1566,propaganda,8,
1567,proper,2,
1568,properli,3,
1569,protect,2,
1570,protector,1,
1571,protein,2,
1572,protocol,2,
1573,proton,7,
1574,prove,3,
1575,proven,1,
1576,provid,8,
1577,provis,3,
1578,ptaduto,1,
1579,puff,3,
1580,punctual,2,
1581,punctur,2,
1582,purchas,213,
1583,pure,3,
1584,purifi,1,
1585,purpl,2,
1586,purpos,1,
1587,push,1,
1588,put,15,
1589,qi,2,
1590,qualif,1,
1591,qualiti,83,
1592,quantiti,9,
1593,queen,4,
1594,quem,1,
1595,question,11,
1596,quick,3,
1597,quilt,3,
1598,quit,4,
1599,quot,1,
1600,rage,1,
1601,ramo,2,
1602,ranger,2,
1603,rape,1,
1604,rapid,2,
1605,rate,4,
1606,razauavel,1,
1607,re,1,
1608,reach,11,
