,review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,English
168,d7ea05bb4f9c77d606fd90b1a27e317d,bb5b0d8f3e9c964760c674f2aa2ae0cf,1,,Comprei o produto dia 25 de fevereiro e hoje dia 29 de marco não fora entregue na minha residência. Não sei se os correios desse Brasil e péssimo ou foi a própria loja que demorou postar.,2018-03-29 00:00:00,2018-03-29 23:13:58,
169,185cb85ede91009d7a8e685687c037ee,2e5dc86c8c4aa663549caf5e31de840d,1,,"fiz minha compra faz 30 dias e não recebi ainda meu produto.
Precisa melhorar nas entregas",2017-04-06 00:00:00,2017-04-09 18:25:12,
186,ca21ff9bdc64ce15d2be8e09bbc5a115,2f6bbf69e7e15f419cef8a59761df265,1,,,2017-05-06 00:00:00,2017-05-09 11:19:51,
190,c40a6b6e0181e5ec0d12cbc2e12c49d3,f3468d6a2c7586711e9952242898aad4,1,falta de produto e quebra,Faltou 1 produto e os que recebi 1 veio quebrado,2018-05-23 00:00:00,2018-05-23 22:23:00,
197,06f47dacd0575e592bf6a17e922ce6cd,82348f1b5f24ac795fa9320e02c49553,1,não recebi ainda,aqui está descrevendo como entregue só que ate agora não recebi,2018-06-28 00:00:00,2018-06-29 16:34:46,
217,715742f4ae2149e82ead981971912530,73863aca434e1d117e45109bea6f1937,1,,,2018-08-17 00:00:00,2018-08-17 05:21:43,
221,cde97e23deec3aa11e838402378706ee,512ba2efae3409f37660ce26199b32aa,1,,"Não posso! Estou aguardando a chegada do produto que comprei!Logo que isso aconteça, terei minha opinião formada!",2017-12-22 00:00:00,2017-12-22 12:20:27,
222,b2f9240b0a16650054680457ad518388,807bd7d79398132db47a02f8d49c60f8,1,,,2018-02-24 00:00:00,2018-02-24 18:26:56,
223,3ff8285931cc9b54c9ad22ba78957f63,e6b23db78d4473c921fb9315e04b5c0f,1,,Comprei dois produtos e recebi somente um. Mandei dois emails para a loja e não tive nenhum retorno. Estou insatisfeita.,2017-05-14 00:00:00,2017-05-19 10:38:27,
240,a36150969fe6bd09ed011dd78aeb0189,ef1b29b591d31d57c0d7337460dd83c9,1,,"Demora na entrega, detestei o atendimento e NUNCA mais compro. baratheon quando vendia por eles mesmos era bem melhor! ",2016-11-02 00:00:00,2016-11-03 12:04:24,
242,43992f6d75ecc01ddd8c748b9362bc81,55b5a2fb966c36bed46f082ad6062914,1,,o meu produto não chegou... segundo o rastreio está parado em Ribeirão Preto sp... ,2018-03-23 00:00:00,2018-03-23 23:21:32,
243,8b4c14417bccab81710772ecb8b23fd6,62a575a2a9f2c005b7ec7ff7dd76d5ee,1,,produto deu defeito na 1 vez de uso.,2018-08-03 00:00:00,2018-08-04 19:32:39,
246,252b934455d29ca8cc070504686ecc52,4806c15e687faabdb46ca2643cfcfa6e,1,,até agora não recebi o produto.,2018-03-14 00:00:00,2018-03-14 08:59:57,
249,b736ff4204044e49e39062584d06fa74,993da8482e658ec7f1d0c6d955604936,1,, A loja anuncia um produto e entrega outro.,2018-08-24 00:00:00,2018-08-27 05:20:47,
260,c239d18d7e310e477d5e7b76b362db1d,80a2b0dcabefef6a83477204433b2482,1,,produto foi entregue com umas das alças com problemas (está faltando 1 pino de fixação),2018-03-11 00:00:00,2018-03-13 21:17:09,
268,6f885e2fd69412264d9e74e805175d53,108e1d5b7a25ff07b49e500b1c7ae4b0,1,,"Recebi bem rápido, porém veio outro produto, e não o que eu pedi, o modelo veio diferente, a cor, veio uma capinha que não tem zíper, enfim, não recomendo. ",2017-06-22 00:00:00,2017-06-23 19:35:16,
277,f7eb8792e67d53e01a224bfa9b6802b2,a0f2f8b0523207a13f02225bc812ed23,1,Horrível,"Cancelaram a minha compra um dia antes da entrega, liguei para a lannister e os atendentes não sabiam o que estava acontecendo, uma bagunça, agora estou esperando para ver se vai ser cobrado",2018-08-05 00:00:00,2018-08-05 09:27:55,
288,7dada5b776c67a2995d44b56122c1aba,4d5e865e4b64c8b33f8a81fd14731344,1,,Enviei 2 solicitações pelo site para trocar o endereço. Recebi a mensagem de que iam me ligar em 48h mas não ligaram.,2018-04-24 00:00:00,2018-04-26 00:05:52,
292,84ae94ac7146889400b0c58f5baa7cde,39841bda2ced6b58fb455964b6ad0f05,1,,,2017-07-08 00:00:00,2017-07-08 15:56:35,
294,4dd68a0dee5ede8a445f797c46bca436,ac706ac9421036e88d5b2c96b058aba6,1,,o acabento que estava na foto era bonito a que chegou foi de um sintetico feio com um acabento todo borrado orrivel nao gostei,2017-07-05 00:00:00,2017-07-11 10:20:06,
298,f55ac350831de6694d569e9c0176dacd,92cd4be4e992be4ab03304531ce6c5f9,1,,E muito desordenado comprei três produtos mais não veio no dia sertões veio separado e em data separada ,2018-01-31 00:00:00,2018-02-01 02:12:01,
305,96ee030286f50f61c6d199bdfaa5573d,7920529b8621a433718e66c72a763bdc,1,,", muito ruim ! ",2017-11-29 00:00:00,2017-11-29 21:28:39,
306,c29578721fec42d32a8df09c414aa4fd,04eef545c54d444825c506ba170a26bd,1,,,2017-05-17 00:00:00,2017-05-21 12:41:38,
307,6280ca6a9e8c3a56b668ec8c5396caaf,534a0fbe91a806a1dc6bf09b497e3d6f,1,,Passou dos dias previstos.,2018-02-09 00:00:00,2018-02-14 04:13:49,
320,9e325bcfa22c4820da7d4f165c7dd49f,ab25d035abca0cb6c74fff900e926246,1,,,2018-04-27 00:00:00,2018-04-27 12:17:46,
322,3db041dd46e9935752c691a2093799c2,51eaae3287e04efba45a51f52098fc88,1,,Produto não recomendo não ler em nenhum dispositivo,2018-04-27 00:00:00,2018-04-28 01:49:40,
332,f3f77d01a24ce4da52b6f7e83e71498d,a5a83c95ed669b7ba0ddce1d761c191f,1,,"Tentando cancelar o produto desde antes da emissão da nota fiscal. Não fui avisada que estava no correio, não tive nenhuma resposta do cancelamento e nao consigo devolver. ",2018-03-01 00:00:00,2018-03-02 12:55:24,
334,b396ba75350276a6cc1993b6627dceea,43050a51a257b17d51295e07650cb654,1,Lamenetável...,"Boa Noite

é lamentável, esta loja que tantas compras eu ja fiz e hoje não me da satisfação sequer de um relógio na importância de 50,00 reais ... um produto com defeito e até agora não me deu retor",2018-08-23 00:00:00,2018-08-30 03:02:39,
353,4677abdc2e2e59f87b19f57edd36c883,c5ad60266a394a7f574c140c0248ec43,1,,,2017-04-20 00:00:00,2017-04-21 01:17:20,
366,af41ee42a3e2dc767023449fda6c12fa,762955db358210db24103ff9ce1ddda7,1,,"Última vez que compro pois hoje vai fazer 1 mês que fiz a comprar e nada, e se demorar mas tempo de entregar estarei procurando meus direitos contra as lojas lannister e a targaryen.",2018-03-21 00:00:00,2018-03-21 15:32:51,
382,4f2d420b33665f546c373953c8dfb5fd,523824180b3b651c5d233b761bdd7597,1,,"Não gostei do produto, material de péssima qualidade.",2017-10-08 00:00:00,2017-11-10 16:24:28,
383,bfd1c687738141ef5861a1a1269ca855,409e065598ea4a9dba359d894ab0cab9,1,,"Dos dois produtos comprados, foi entregue apenas um!",2018-01-10 00:00:00,2018-01-11 11:54:28,
384,6724babb3b9952660bc345b5f5a4db07,c09eea5faf2f865d54fac5b97b961a75,1,,Nao compro mais na lannister. Se é parceiro da lannister ou não essa targaryen jamais uso novamente. Quando eu ler que é dessa empresa saio correndo. Um absurdo. Quase um mês para entregar. Extra.com ok,2018-02-09 00:00:00,2018-02-10 01:04:39,
400,b54c1776f5955ced2f54c711c665a025,520a772c685704aec515546f7a098ea9,1,,Nem fizeram a nota fiscal ,2018-01-30 00:00:00,2018-01-30 02:34:26,
410,f4d2c6ed9bebda9d41573e30f3d629b5,544789a536e56050d352f95b48062912,1,,"O MP3 player não funciona, mesmo trocando a pilha diversas vezes. Tive que devolver.",2017-11-05 00:00:00,2017-11-06 13:54:54,
419,755509047344db65b4c12fe56626765d,08d7ec7381dc51d41a0e4d86314b7a98,1,,,2017-01-27 00:00:00,2017-01-30 17:40:30,
421,341ccd0a62b82793121e9ebdd1eafaf9,adad66be45caa015d25e03ed17610197,1,,A targaryen não é de confiança não entregou a minha compra e colocou no rastreamento do pedido que foi entregue no dia 14/12/17 empresa falsa quero receber meus produtos que foram pagos com boleto bancari,2017-12-15 00:00:00,2017-12-20 07:55:39,
425,772d77869ce0505a42077a4429385c9c,e03e8192ecbedf3c6493ae3c01ba21e3,1,,,2018-07-14 00:00:00,2018-07-15 17:03:22,
428,320ae91d4c5cb8164c168fc68392a5fb,934e266bc66e8ed5bba8266dfde60175,1,Produto pirata!,"Quando instalei o cartucho de tinta, a minha impressora indicou que o mesmo estava vazio, e apresentou a mensagem de erro ""!"" em cima do marcador de nível da tinta. Já solicitei a troca. ",2018-05-22 00:00:00,2018-05-23 01:03:33,
445,b92b5b1122f1298b87bc7882115db417,e30b9cda599826e24ad3f5eddf966583,1,,Não foram entregue as duas capas de couro compradas. Apenas uma delas. Aguardo a devolução do dinheiro ou a entrega da segunda capa.,2017-08-12 00:00:00,2017-08-20 16:13:44,
473,f8499130452fd0f108a9a24454f51c32,730308f506bdb6d00878bc7cce6109f9,1,,No dia 19 de maio usei e a à alça quebrou sem muito peso ,2017-05-19 00:00:00,2017-06-01 02:03:49,
476,7e6becdbaed9bd20e60602d1f8c2b4f9,acf6e912a8db79e50ddd2fe14628e89c,1,,,2018-08-15 00:00:00,2018-08-15 21:08:00,
501,ed2842d0aa7ac6285c7547d17f17da4d,26874945bcbf47606ab08580cf923693,1,,"Comprei um produto e veio outro.
Mandei msg informando o erro , porém não obtive resposta.
Obrigado ",2018-02-22 00:00:00,2018-02-22 22:01:45,
502,b9bc677ac0e014a1c9f2340ea72f17a1,b154b6c273af25ad4864ee4dcf0e47b8,1,,,2017-09-22 00:00:00,2017-09-23 09:49:36,
503,9a8d24623d56c13f950247baa73f4c80,25a178eea0cfa9b0489aa1d8294423bf,1,,o produto demora muita para chegar !,2018-03-10 00:00:00,2018-03-15 14:01:32,
505,8fa0fe324426c676a8989ec7815a036c,7758cf0b4302587a9628d90b58d56dd8,1,,,2017-03-23 00:00:00,2017-03-23 18:31:14,
512,81648dc10c6e3f763cdc0dbcd073d055,6e7e891760708803a2f4203981f2d69d,1,,,2017-03-19 00:00:00,2017-03-21 13:32:54,
516,9ba260ed7e6a228e5e9910e035a70c7f,2b7f34e9b0b9eba10050d725278d8609,1,,"Somente foi entregue uma unidade, ao invés de duas.",2017-12-13 00:00:00,2017-12-15 18:37:47,
527,73a58bd10f2667a04ee95df0071d5988,a5ace85930526f2e2c1f06c2d3383e90,1,,Ainda não recebi,2018-01-06 00:00:00,2018-01-06 12:19:24,
532,41b377e06cb52feb5630c3ce360cd8cd,a6711e454e2bbe3bb021ec7fcfd3c6ac,1,,"Até agora nao recebi.Comprei este aparelho por questao de saude,portanto nao recomendo esta loja.",2017-09-30 00:00:00,2017-09-30 09:09:39,
540,1ff86f2ca823caab2e02507d2633081d,69ffbfbfbabf0d4360c4deb0632b6f1a,1,,"Gostaria de saber quando chegará meu produto?
Pois já se passou a data prevista para entrega , gostaria de uma resposta estou aguardando!",2018-03-22 00:00:00,2018-03-25 23:32:00,
544,d49137ea593f67aa74446503e88aa91d,a50a23ee8e09f54388b66da19c633bc4,1,,"O produto entregue difere do pedido
trata-se de um produto inferior!
Gostaria que fosse solucionado o problema!
Não estou satisfeito com procedimento!",2018-04-21 00:00:00,2018-04-23 09:26:40,
554,c54629f4fc4dcf65a10efb35322ec769,06ef1c484cc535575da1724b5c6b913a,1,,"Não recebi o produto, assim como nenhum contato por parte do .vendedor",2018-05-12 00:00:00,2018-05-14 09:56:51,
557,1c6d1543dc13cb2465c63ac5de6cb4d0,b38eef08b40fc62c878cc175dd26cd8d,1,,Nem ratrear estou conseguindo:(,2017-08-10 00:00:00,2017-08-10 09:32:33,
563,782be3066f784bbc0a5f4f5256172488,655e65fc77c14d8f715cf7f9684182b2,1,,veio conforme o pedido mais o pós venda não respondeu nenhuma das minhas perguntas,2018-02-16 00:00:00,2018-02-22 18:40:14,
566,1489ef235189b9e5e1a9d4308bf228bd,a0c370a65210b6a6e739cf8e302b9c77,1,,"Comprei duas mochilas, recebi apenas uma, o natal está chegando e até agora nada!",2017-12-14 00:00:00,2017-12-20 10:28:32,
571,0e5149ccee3f7414ba4d17c13f051259,fc9a5afd96050ceb0d9f12a4f8c5d9f0,1,,,2018-08-10 00:00:00,2018-08-12 21:45:01,
601,cb0de6745dc7d44ff821eabbc2613df9,2fa7634ce48dabd9f75b76ab8c55a9b6,1,,"Os pincéis vieram amassados, não condiz com algumas fotos, mas condiz com a descrição. São fracos, não cabem na case e um veio descolado ",2017-05-26 00:00:00,2017-05-27 11:17:50,
603,9789da30de867a89d9e05b5cd70372c1,53abe7c4aed1dfb3bf25e69723fd9a4d,1,,,2017-06-21 00:00:00,2017-06-23 19:11:32,
608,71f7323f884804c6d38bbcd658e07318,759fc48b9360c6710317b337b9e8a974,1,,"O produto veio diferente da q mostra na foto, não é de luxo, nem acolchoado como dizia.",2018-04-19 00:00:00,2018-04-19 22:42:32,
621,4ff4a9def88a920ce3dcdbaa6d8bf344,34add8976995eea31cf36aa691b32773,1,,,2018-04-21 00:00:00,2018-04-21 11:20:59,
626,5bed105c6756af72c550e78d4e9bcba7,63c10abe3e4a1cfbeda3cdde88766893,1,,"Estou aguardando uma resposta até hoje, sobre os meus produtos, já foram pagos e ainda NÃO os recebi, foram 03 iguais e necessito falar com pessoas e NÃO máquina ou gravações.",2017-08-19 00:00:00,2017-08-20 16:42:11,
628,4af54aa9664523133709e2e8f0aeb6d2,7fa41d59cc693e0ed84f2668b7ebe4d7,1,,,2017-08-12 00:00:00,2017-08-13 00:12:28,
645,d34ad0ccdfa8649968e8eb3cac55e8b4,75a935207305c1dd6146a8012323cad9,1,,"Gostaria de receber os produtos corretos, tentei realizar a troca pela devolução de dinheiro no cartão, mas o site da lannister não possibilita que seja realizado.",2017-09-17 00:00:00,2017-09-18 20:58:13,
648,2d0d80576ee9bbab49cc108d9ec7a0fb,475f773f6c0d909e49b758adb2401e3a,1,,"meu produto veio com defeito,devolvi conforme informado.postado no correio conforme indicado.e até hoje não recebi nenhuma notificação da empresa quanto a devolução e análise para ter meuressarcimento",2017-02-21 00:00:00,2017-03-13 22:20:04,
650,45d1572f5bfca2707ae6748265f8169a,bdf7cbcf2a174866c15ade0d9a55bf7d,1,,Só recebemos 1 cartucho já abrimos reclamação no site e ainda não obtive resposta. ,2018-04-13 00:00:00,2018-04-16 12:34:37,
653,8f16e30ff188fe57a427fee7afb60c90,f4836c9fdf304c98f625b549ea6bbc39,1,,O tampo da mesa chegou todo amassado e batido.,2017-05-25 00:00:00,2017-05-25 22:01:57,
657,a9d07fa7b9fb1486b3fe36ddc456adb8,75c2711e9fabc4fc0531917afc748451,1,,,2017-03-14 00:00:00,2017-03-16 13:46:30,
663,d433c252647c51309432ca0b763f969b,448795135b904d057254f5fd0d5a6a4c,1,,,2017-09-03 00:00:00,2017-09-06 16:11:00,
666,f43eeb6bb515e7c94635efb799ac5901,7b2e128ff26556462b7d217f1b67600b,1,,Até o momento eu n recebir o produto,2017-11-19 00:00:00,2017-11-22 12:59:25,
674,7b66de927426b71a817aa36df5e8a0b3,634e8f4c0f6744a626f77f39770ac6aa,1,,Muito bom o produto e preço cobrado!,2017-08-17 00:00:00,2017-08-17 23:36:23,
688,253662a4cd78b84ca6547d0359fe90f6,aeb81ccabe4f164a26e763cd5b07fd99,1,,No aguardo de um retorno urgente.,2018-04-15 00:00:00,2018-04-17 20:24:28,
690,24203dee295cf23bd24b7ace9bca261f,1e189a60261c3efb60bdace6d37ac223,1,,"Produto mais que passou do prazo de entregar, tento resolver o problema com a empresa e não consigo falar com ninguém. Tudo que fazem é me passar para reclamar num sistema que não funciona.",2017-12-16 00:00:00,2018-01-04 12:28:35,
694,4f3d4af8f472d4ccd334d4222c4e9ef4,f58c538485f196aedcc7a7f6cbe34dd6,1,,Deram um prazo muito grande para a entrega do produto e não conseguiram entregar no prazo ,2018-03-25 00:00:00,2018-03-25 13:19:03,
700,2165b2b26e67eee7a9d28e13c0ad0468,d2aefa1e404936eb9c5660ac2bde4ecb,1,,Não recebi o produto.e agora?,2018-05-30 00:00:00,2018-05-30 03:19:24,
713,1edf2a3596b417ee8485f64c7c2109ac,d2b733c929342acefcd33572f8a1e3da,1,,"comprei tapete de borracha para tr4 mitsubishi a loja entregou um tapete de pvc horrivel
no titulo ta tapete borracha tr4,
me enganaram e agora o que fazer sendo que tem despesa para devoluçao, por",2017-12-28 00:00:00,2017-12-28 09:02:37,
728,bdd3dd9b37833960a30cbdd2f2e7e888,ec9b762e44b1848fb62eab0de58e8abf,1,Produto diferente da ilus,"Cortina de plástico, na foto parece tecido desenho diferente cores morta apagadas, uma verdadeira porcaria, não recomendo ninguém compra decepção total ",2018-08-12 00:00:00,2018-08-15 12:11:26,
742,8c7c2545647efc4f2b99316c0d7353de,696a92d8c4f0b9ad34106f5caa0813f6,1,,,2017-11-12 00:00:00,2017-11-14 23:32:28,
745,d5f52592440083e468b7d8a45a050dd7,b9ba0d763542807cc21f8fcd54d80f6b,1,,,2018-04-24 00:00:00,2018-04-26 18:27:46,
747,5f9483db06c86d72dbe9b41a54d0301b,f12388e0e8c7694fc38c8de19261054c,1,,,2018-03-25 00:00:00,2018-03-27 11:00:30,
749,bc84fbdb0fe01d7532f76f27be322d0b,0ccc28cc32fa5c8ca6a3b2d594700714,1,,,2017-11-17 00:00:00,2017-11-18 01:49:23,
751,457d3e9951f4f059f364f622ff647bac,11b33f091608b48c86184dcfd339dc9e,1,,,2017-12-24 00:00:00,2017-12-25 06:41:20,
752,afbb31d9903a484844c6968cf4600ff3,6ea5512a5c86fbad911fe650286caa81,1,,,2018-03-22 00:00:00,2018-03-22 10:07:49,
763,fb9c35dd3f4294381b42154f21186e83,643e340c6c562d108526c36d5a94c027,1,,"MEU PRODUTO AINDA NÃO FOI ENTREGUE, JÁ FIZ MINHA RECLAMAÇÃO E ATÉ AGORA NÃO TIVE NENHUMA PREVISÃO DE ENTREGA. ESTOU SUPER INSATISFEITO E QUERO MEU DINHEIRO DE VOLTA. FOI DENUNCIAR AO PROCON.",2018-01-07 00:00:00,2018-01-07 13:20:02,
764,2464e0bf2ea1b52aa5552b70e5a10dfa,a12c7cc529c689355b84f45a8992971d,1,,A cortina não é o modelo que pedi. |,2017-03-10 00:00:00,2017-03-13 17:03:54,
768,70d2258489cae12a65d36c8c09fd54c1,b1b6c6679301e883c54342f1610a5360,1,,Comprei Rosa com Braços Brancos e entregam toda Preta ?,2018-02-24 00:00:00,2018-02-25 02:46:18,
769,e0dc4bf3a60093ee76994fe44150a25c,ab275e2c1b924e6f63d5edc630a56262,1,,Preciso de uma previsão.,2017-04-22 00:00:00,2017-04-24 10:57:08,
813,560effdc2aaba0ed5d37ed8a98cc6af2,3ef6bcdda6193f8657168ba7e8b3e948,1,,"Recebi outra boneca, quero devolver e não consigo contato! Jamais compraria novamente dessa loja! ",2017-12-07 00:00:00,2017-12-11 23:48:29,
836,3a9cc3b90bc22af3b6edec6ac5e899c8,8071505187465938d3f033c82180edc6,1,,"Boa noite , não gostei pois nunca conseguimos falar com vcs pelo telefone
",2017-07-18 00:00:00,2017-07-22 01:41:26,
839,23bb19a944b4148d8f438485a594964d,044406a115a855072a8e79d38f028a80,1,,,2017-08-11 00:00:00,2017-08-12 02:14:46,
852,bd9ff9329765ed79c1b081269e9f08aa,4642ed1845e7cd193a89f622e9f4611b,1,,Não recebi o jogo na cor tabaco. Só o vermelho. ,2017-08-17 00:00:00,2017-08-18 13:29:27,
854,3ba4306480ae86226634b10b023a1250,0a6b6d3fb4616f5b647bc8b0b8f69e0d,1,,"Nao foi entregue na minha casa , por isso nao gostei , nao tenho tempo de esta indo nos correios..",2017-11-07 00:00:00,2017-11-07 14:35:15,
862,556e5259e2d5b0cbeec371d7a22bef5a,49267f83c9f436f1147915577fdeb110,1,,O produto veio estragado,2017-11-04 00:00:00,2017-11-06 22:29:34,
865,f4ac38a0c605e0acf87051fd53a414fc,fd9fd21af695ddc1b8200a18954f7b73,1,,"Minha mercadoria não foi entregue , já paguei a primeira fatura quero cancelar a compra pois paguei o frete e não recebi a mercadoria.
",2018-03-31 00:00:00,2018-03-31 05:02:14,
866,b2afc68cb2d3f8cbf7bf956f76c0855c,80fcac926630a1f8dac09acd966434ed,1,PRODUTO PÉSSIMO,PRODUTO JA CHEGOU COM DEFEITO NÃO FUCIONOU CONFORME MINHA NECESSIDADE DE USO. INFELIZMENTE ULTIMA COMPRA MINHA TOTALMENTE INSATISFEITO.,2018-05-01 00:00:00,2018-05-04 20:31:53,
871,0b65c77a15066bdefcbad715444798aa,fc72efeda6e41513a1c7956b6a0ccfc3,1,,Estou extremamente decepcionado. Isso nunca havia acontecido,2018-03-23 00:00:00,2018-03-26 13:35:51,
873,f76c1205c2a85f2be09fbbe71d8d0b7d,d917b61df82dea35fe77a6dd3f6022e3,1,,COMPREI DOIS PENDENTES SÓ CHEGOU UM. PRECISO SABER O QUE FOI QUE HOUVE?,2017-12-31 00:00:00,2018-01-03 19:38:46,
882,31a0d09572da13a6a587b2986e6b1b34,4201a8366a21b43a6b9c2c912a2dd5f4,1,,Produto veio com amassados e também não está funcionando corretamente.,2018-03-07 00:00:00,2018-03-12 14:13:56,
889,b9867004151eef78e82f18728f2a3cee,c5b977015b27b1b086bebf07bd454df6,1,,Estou esperando há mais de vinte dias e ainda não recebi meu produto e não consigo nenhuma informação. ,2018-01-11 00:00:00,2018-01-11 11:31:37,
892,5c5486a9b74b631a072e526841ab8b46,a7547ae74369b19c925d4d0f11047e7c,1,,Estou aguardando posição da empresa para fazer a devolução do produto.,2017-06-06 00:00:00,2017-06-07 03:15:20,
893,9c8fa795fde24263e0ccbcbc91b8546b,083f267075b03a6cd837f4faa2c7b881,1,Meu produto não chegou,,2018-08-02 00:00:00,2018-08-02 12:19:03,
896,1fd8eab7c5d5497d701f263ebd97ad76,95247e44ffe87a1402f04c0023650fb4,1,,"O CEP foi escrito errado, tive que retirar o produto nos Correios da cidade vizinha.",2017-07-29 00:00:00,2017-07-29 21:14:58,
897,e8ef92df93348dc8d96b1b6a8b0567ee,2b60eebc028bc36dca9f731556d1581f,1,,fornecedor não enviou o produto correto. solicitei o sabor chocolate e me foi enviado outro sabor.,2018-04-13 00:00:00,2018-04-13 12:30:57,
920,d838d6e37f4ee0ce4d0a56e5d5211038,37069a22c82db05d43b447a96abf4af0,1,,O produto ainda não chegou,2018-01-23 00:00:00,2018-01-23 17:42:46,
929,db64106aff6c7180cb841937f43f5f44,208215ef3138230b69b97f3fb415e9bc,1,Entrega atrasada,Ainda não recebi o produto...,2018-05-24 00:00:00,2018-05-25 01:27:45,
939,d6b0a9e1cc2bd827de2f63af37710456,41a48f4dc75f01b16dfa7e32cb456ebc,1,Comprei 2 produtos ,Comprei 2 produtos so mandaram 1 e n mim deram nenhuma justificativa ! ,2018-04-27 00:00:00,2018-05-07 14:58:19,
983,0a059e1fd55dd70084cf7f1a01fde7e6,30a18df212b45e1322b6d81521786ec4,1,,,2018-07-31 00:00:00,2018-08-01 21:53:21,
1004,536c631d5f15eab8260d69b603779f99,62fd709303ada1fdabb94af48092000b,1,,O produto foi encaminhado para cidade de destino no dia 31/03 e até o momento não recebi.,2018-04-11 00:00:00,2018-04-11 09:55:40,
