,phrases,frequency,English
712,arriv sinc,1,
713,arriv six,1,
714,arriv spoil,1,
715,arriv strangl,1,
716,arriv the,13,
717,arriv time,2,
718,arriv today,1,
719,arriv togeth,2,
720,arriv two,1,
721,arriv use,1,
722,arriv violat,1,
723,arriv voic,3,
724,arriv wa,2,
725,arriv wait,2,
726,arriv want,1,
727,arriv watch,1,
728,arriv well,2,
729,arriv when,1,
730,arriv white,1,
731,arriv without,1,
732,arriv would,1,
733,arriv yet,5,
734,articul neither,1,
735,as deliv,1,
736,as doorway,1,
737,as forti,1,
738,as hand,1,
739,as investig,1,
740,as it,3,
741,as need,1,
742,as origin,1,
743,as the,2,
744,asham despit,1,
745,asid the,1,
746,ask ad,1,
747,ask an,1,
748,ask and,1,
749,ask bought,1,
750,ask cancel,4,
751,ask canist,1,
752,ask cardboard,1,
753,ask chang,2,
754,ask chrome,1,
755,ask clock,1,
756,ask color,1,
757,ask compani,1,
758,ask consist,1,
759,ask deliv,1,
760,ask deliveri,1,
761,ask everyth,1,
762,ask exchang,2,
763,ask forti,1,
764,ask found,1,
765,ask give,1,
766,ask golden,1,
767,ask in,1,
768,ask len,1,
769,ask made,1,
770,ask measur,1,
771,ask my,1,
772,ask not,3,
773,ask one,5,
774,ask paid,1,
775,ask product,4,
776,ask pure,1,
777,ask receiv,2,
778,ask refund,1,
779,ask repay,1,
780,ask return,2,
781,ask revers,1,
782,ask send,1,
783,ask size,1,
784,ask the,4,
785,ask to,5,
786,ask two,2,
787,ask unit,1,
788,ask wa,1,
789,ask wait,1,
790,ask what,2,
791,ask white,1,
792,ask whole,1,
793,ask wish,1,
794,ask wrong,1,
795,asp po,1,
796,aspect old,1,
797,aspect request,1,
798,assembl veri,1,
799,assist report,1,
800,associ compani,1,
801,at address,1,
802,at canist,1,
803,at correct,1,
804,at first,1,
805,at least,2,
806,at marathon,1,
807,at post,1,
808,at request,1,
809,at the,2,
810,at time,2,
811,atemdeu specul,1,
812,attempt deceiv,1,
813,attempt did,1,
814,attempt he,1,
815,attempt product,1,
816,attempt purchas,2,
817,attempt the,1,
818,attend did,1,
819,attend inform,1,
820,attend love,1,
821,attend not,1,
822,attend say,1,
823,attent buy,1,
824,attent make,1,
825,attent order,1,
826,attent respect,1,
827,attent the,1,
828,attitud make,1,
829,august twenti,1,
830,authent game,1,
831,authent not,1,
832,auto adhes,1,
833,automat price,1,
834,automat thought,1,
835,avail product,1,
836,avail purchas,1,
837,avail readi,1,
838,avail sale,1,
839,avail the,3,
840,avail to,1,
841,avail two,1,
842,avenu home,1,
843,averag doubl,1,
844,averag need,1,
845,averag offer,1,
846,avoid disord,1,
847,avoid wear,1,
848,await clarif,1,
849,await compani,1,
850,await contact,1,
851,await deliveri,1,
852,await guidanc,3,
853,await order,1,
854,await other,1,
855,await outcom,1,
856,await post,1,
857,await problem,1,
858,await provis,1,
859,await receipt,1,
860,await refund,1,
861,await regular,1,
862,await request,1,
863,await respons,3,
864,await return,6,
865,await ship,1,
866,await solut,3,
867,await someth,1,
868,await store,1,
869,await the,3,
870,await urgent,2,
871,await valu,1,
872,awar canist,1,
873,baba the,1,
874,babi comfort,3,
875,babi fell,1,
876,babi it,1,
877,babi next,1,
878,babi pillow,1,
879,babi room,1,
880,babi take,1,
881,babi would,1,
882,back am,1,
883,back ask,1,
884,back block,1,
885,back canist,1,
886,back come,1,
887,back correct,1,
888,back descent,1,
889,back do,1,
890,back guidanc,1,
891,back immedi,1,
892,back long,1,
893,back me,1,
894,back money,2,
895,back not,1,
896,back order,1,
897,back product,1,
898,back soon,1,
899,back stark,1,
900,back still,2,
901,back thank,1,
902,back the,1,
903,back to,1,
904,back ve,1,
905,back wait,3,
906,back want,1,
907,backer feet,1,
908,backer instal,1,
909,backer not,1,
910,background the,1,
911,backpack onli,1,
912,bad bought,1,
913,bad busi,1,
914,bad can,1,
915,bad clock,1,
916,bad cloth,1,
917,bad differ,1,
918,bad do,1,
919,bad finish,2,
920,bad guy,1,
921,bad have,1,
922,bad is,2,
923,bad materi,2,
924,bad no,1,
925,bad not,1,
926,bad pack,1,
927,bad qualiti,14,
928,badli made,2,
929,ball did,2,
930,be deliv,13,
931,be insur,2,
932,be reimburs,2,
933,be solv,2,
934,be the,2,
935,becaus ask,2,
936,bed box,2,
937,been deliv,2,
938,been miss,2,
939,been than,2,
940,beer tower,1,
941,befor return,1,
942,beg to,1,
943,began loos,1,
944,began peel,1,
945,begin month,1,
946,begin vehicl,1,
947,behalf anoth,2,
948,behalf someon,2,
949,behalf viniciu,1,
950,birthday gift,2,
951,black came,2,
952,blue color,2,
953,blue marin,2,
954,bottl the,2,
955,bought at,2,
956,bought book,2,
957,bought canist,8,
958,bought casino,2,
959,bought clock,6,
960,bought did,2,
961,bought five,4,
962,bought for,2,
963,bought four,7,
964,bought game,2,
965,bought get,2,
966,bought have,2,
967,bought in,2,
968,bought is,2,
969,bought it,3,
970,bought kit,3,
971,bought micro,2,
972,bought not,2,
973,bought one,7,
974,bought origin,2,
975,bought paid,5,
976,bought product,38,
977,bought six,7,
978,bought the,9,
979,bought they,1,
980,bought thi,1,
981,bought thing,1,
982,bought think,4,
983,bought thought,1,
984,bought three,14,
985,bought threextwo,1,
986,bought total,1,
987,bought turbo,1,
988,bought twelv,2,
989,bought two,86,
990,bought twokit,1,
991,bought vacat,1,
992,bought vintag,1,
993,bought wa,2,
994,bought wait,2,
995,bought watch,3,
996,bought what,1,
997,bought without,1,
998,bought wive,1,
999,bought wrong,1,
1000,bought yet,1,
1001,box addit,1,
1002,box arriv,1,
1003,box as,1,
1004,box blue,1,
1005,box box,1,
1006,box came,1,
1007,box come,1,
1008,box contact,1,
1009,box could,1,
1010,box deliv,1,
1011,box did,1,
1012,box empti,1,
1013,box had,1,
1014,box is,1,
1015,box look,2,
1016,box loos,1,
1017,box made,1,
1018,box more,1,
1019,box neither,1,
1020,box nine,1,
1021,box not,1,
1022,box onli,1,
1023,box pack,1,
1024,box product,1,
1025,box prove,1,
1026,box realli,1,
1027,box receiv,4,
1028,box sede,1,
1029,box similar,1,
1030,box six,1,
1031,box tear,1,
1032,box that,1,
1033,box the,4,
1034,box three,3,
1035,box to,1,
1036,box unfortun,1,
1037,box use,1,
1038,box violat,1,
1039,box wa,3,
1040,box were,1,
1041,box when,1,
1042,box with,1,
1043,box without,5,
1044,br sell,1,
1045,brace abdomin,1,
1046,bracelet alreadi,1,
1047,bracelet no,1,
1048,bracelet pearl,1,
1049,bracket not,1,
1050,brake activ,1,
1051,brand beyond,1,
1052,brand box,1,
1053,brand came,1,
1054,brand deliv,1,
1055,brand it,1,
1056,brand just,1,
1057,brand lower,1,
1058,brand much,2,
1059,brand passag,1,
1060,brand product,1,
1061,brand provid,1,
1062,brand receiv,1,
1063,brand the,2,
1064,brazil consum,1,
1065,brazilian bird,1,
1066,break call,1,
1067,break six,1,
1068,breast holder,1,
1069,breastfront camera,1,
1070,bright blue,1,
1071,bring mani,1,
1072,bristl noth,1,
1073,bristl wa,1,
1074,broke the,1,
1075,broken am,1,
1076,broken and,1,
1077,broken believ,1,
1078,broken box,1,
1079,broken broken,1,
1080,broken but,1,
1081,broken came,1,
1082,broken cd,1,
1083,broken coal,1,
1084,broken compromis,1,
1085,broken control,1,
1086,broken crack,1,
1087,broken cuba,1,
1088,broken decreas,1,
1089,broken did,1,
1090,broken frame,1,
1091,broken glass,1,
1092,broken littl,1,
1093,broken not,3,
1094,broken piec,1,
1095,broken place,1,
1096,broken product,3,
1097,broken sad,1,
1098,broken so,1,
1099,broken three,2,
1100,broken tri,1,
1101,broken voltag,1,
1102,broken wa,1,
1103,broken want,3,
1104,broken with,1,
1105,broom pillow,1,
1106,broom the,1,
1107,brought one,1,
1108,brown carpet,1,
1109,brush anoth,1,
1110,brush green,1,
1111,brush if,1,
1112,brush total,1,
1113,bsp step,2,
1114,bu ticket,1,
1115,bubbl bag,1,
1116,bucket spin,1,
1117,bug came,1,
1118,bug card,1,
1119,build refus,1,
1120,bulg film,1,
1121,bum materi,1,
1122,bumbleeb sent,1,
1123,bundl the,1,
1124,bureaucraci exchang,1,
1125,burn can,1,
1126,burn doe,1,
1127,burn so,1,
1128,burn the,1,
1129,busi came,1,
1130,busi chri,1,
1131,busi day,1,
1132,but fake,1,
1133,but go,1,
1134,but mistak,1,
1135,but noth,1,
1136,but they,1,
1137,but thirti,1,
1138,but thread,2,
1139,but week,1,
1140,but will,1,
1141,button goe,1,
1142,button no,1,
1143,button the,1,
1144,buy again,1,
1145,buy alway,1,
1146,buy america,1,
1147,buy and,1,
1148,buy antenna,1,
1149,buy anymor,2,
1150,buy anyth,3,
1151,buy becaus,1,
1152,buy blackout,1,
1153,buy canist,7,
1154,buy chop,1,
1155,buy clock,1,
1156,buy compani,1,
1157,buy curaprox,1,
1158,buy do,1,
1159,buy due,1,
1160,buy five,1,
1161,buy game,1,
1162,buy internet,1,
1163,buy it,1,
1164,buy kit,1,
1165,buy lot,1,
1166,buy more,3,
1167,buy my,1,
1168,buy need,1,
1169,buy no,1,
1170,buy not,1,
1171,buy onlin,1,
1172,buy pay,1,
1173,buy poorli,1,
1174,buy product,7,
1175,buy purchas,1,
1176,buy repent,1,
1177,buy same,1,
1178,buy site,1,
1179,buy stainless,1,
1180,buy store,1,
1181,buy targaryen,1,
1182,buy the,5,
1183,buy them,1,
1184,buy they,1,
1185,buy thi,6,
1186,buy total,1,
1187,buy want,2,
1188,buy watch,1,
1189,buy we,1,
1190,buy wrong,1,
1191,buy you,1,
1192,by email,2,
1193,by far,1,
1194,by mean,1,
1195,by surpris,1,
1196,by the,1,
1197,by way,1,
1198,cabl am,1,
1199,cabl extens,1,
1200,cabl iphon,1,
1201,cabl measur,1,
1202,cabl super,1,
1203,cabl tester,1,
1204,cabl the,2,
1205,cachepot receiv,1,
1206,calcul came,1,
1207,call and,1,
1208,call ask,1,
1209,call canist,2,
1210,call center,1,
1211,call central,1,
1212,call complain,3,
1213,call date,1,
1214,call did,1,
1215,call doe,1,
1216,call ignit,1,
1217,call is,1,
1218,call it,1,
1219,call just,1,
1220,call manufactur,1,
1221,call no,1,
1222,call not,1,
1223,call onli,1,
1224,call post,1,
1225,call return,1,
1226,call sac,1,
1227,call said,1,
1228,call the,3,
1229,call thirteen,1,
1230,call to,2,
1231,call vehicl,1,
1232,came aca,1,
1233,came across,2,
1234,came amend,1,
1235,came anoth,10,
1236,came behalf,1,
1237,came bill,1,
1238,came black,2,
1239,came bone,1,
1240,came broken,18,
1241,came burn,2,
1242,came came,1,
1243,came car,1,
1244,came charger,1,
1245,came coconut,1,
1246,came color,1,
1247,came complet,1,
1248,came correct,3,
1249,came correctli,1,
1250,came corrupt,1,
1251,came coupl,1,
1252,came crack,1,
1253,came curtain,1,
1254,came custom,1,
1255,came damag,5,
1256,came dark,1,
1257,came deadlin,1,
1258,came defect,14,
1259,came deliv,1,
1260,came describ,1,
1261,came differ,10,
1262,came dirti,2,
1263,came disagr,1,
1264,came doll,1,
1265,came elast,1,
1266,came expect,1,
1267,came factori,1,
1268,came fade,1,
1269,came fake,2,
1270,came fault,1,
1271,came faulti,3,
1272,came feel,1,
1273,came femal,1,
1274,came five,1,
1275,came fulli,1,
1276,came glass,1,
1277,came glu,1,
1278,came gold,1,
1279,came gray,1,
1280,came half,2,
1281,came hole,1,
1282,came incomplet,1,
1283,came knife,1,
1284,came loos,2,
1285,came love,1,
1286,came lower,1,
1287,came luminari,1,
1288,came malfunct,1,
1289,came mark,1,
1290,came mattress,1,
1291,came micro,1,
1292,came miss,12,
1293,came not,1,
1294,came number,1,
1295,came of,1,
1296,came one,28,
1297,came onli,1,
1298,came open,3,
1299,came origin,1,
1300,came pack,1,
1301,came paid,1,
1302,came pie,1,
1303,came poor,1,
1304,came poorli,1,
1305,came print,1,
1306,came quantiti,1,
1307,came rage,1,
1308,came rape,1,
1309,came read,1,
1310,came recipi,1,
1311,came red,1,
1312,came replica,1,
1313,came rip,2,
1314,came screw,1,
1315,came semi,1,
1316,came shaken,1,
1317,came shred,1,
1318,came silver,1,
1319,came simpl,1,
1320,came six,1,
1321,came sixteen,1,
1322,came size,1,
1323,came spoil,2,
1324,came super,1,
1325,came tablet,2,
1326,came the,19,
1327,came three,1,
1328,came total,5,
1329,came toy,1,
1330,came tri,1,
1331,came turbo,1,
1332,came twelv,1,
1333,came two,3,
1334,came unus,1,
1335,came use,1,
1336,came vanilla,1,
1337,came voic,1,
1338,came wa,1,
1339,came well,1,
1340,came white,2,
1341,came with,1,
1342,came without,6,
1343,came work,1,
1344,came wrap,2,
1345,came wrong,21,
1346,came zenfon,1,
1347,came zero,1,
1348,camel product,1,
1349,camel stall,1,
1350,camel twenti,1,
1351,camera not,1,
1352,camera pro,1,
1353,camera scratch,1,
1354,can admit,1,
1355,can answer,1,
1356,can believ,1,
1357,can chang,1,
1358,can contact,3,
1359,can dead,1,
1360,can do,1,
1361,can evalu,11,
1362,can even,2,
1363,can get,2,
1364,can keep,1,
1365,can let,1,
1366,can make,1,
1367,can mandatori,1,
1368,can not,9,
1369,can open,1,
1370,can receiv,1,
1371,can recommend,1,
1372,can return,1,
1373,can say,1,
1374,can solv,3,
1375,can speak,1,
1376,can take,1,
1377,can talk,4,
1378,can targaryen,1,
1379,can track,1,
1380,cancel anyth,1,
1381,cancel area,1,
1382,cancel at,1,
1383,cancel await,1,
1384,cancel bought,1,
1385,cancel buy,1,
1386,cancel cancel,1,
